"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#DAAA00","Larson, J.","120","-72","2","0","0","0","20","-12","60","24"
"2","#DAAA00","Tupac, K.","0","0","3","0","0","0","36","0","90","0"
"3","#DAAA00","Sybeldon, L.","72","0","0","0","0","0","0","0","20","36"
"4","#DAAA00","Stalzer, L.","72","-12","0","0","0","0","24","-24","50","12"
"5","#DAAA00","Seliger-Swenson, S.","8","-12","37","0","24","-8","0","0","35","12"
"6","#DAAA00","Johnson, W.","96","-60","0","0","0","0","0","0","25","12"
"7","#FF8F28","Gibbemeyer, L.","72","0","0","0","12","-8","0","0","5","36"
"8","#FF8F28","Fairs, E.","96","-72","1","0","12","0","18","0","65","12"
"9","#FF8F28","Lowe, K.","128","-60","1","-12","0","0","0","0","55","0"
"10","#FF8F28","Bruns, T.","8","0","42","0","12","0","0","0","45","0"
"11","#DAAA00","Holston, A.","0","0","0","0","0","0","0","0","0","0"
"12","#DAAA00","Toliver, H.","0","0","0","0","0","0","0","0","0","0"
"13","#DAAA00","Wieser, K.","0","0","0","0","0","0","0","0","0","0"
"14","#DAAA00","Pickrell, K.","0","0","0","0","0","0","0","0","0","0"
"15","#DAAA00","Morgan, T.","8","-36","0","0","0","-8","0","0","5","24"
"16","#FF8F28","Crocker, C.","32","0","0","0","0","-8","0","0","25","36"
"17","#FF8F28","Abbott, S.","56","-48","0","0","0","-16","52","-24","60","0"
"18","#FF8F28","Rosado, D.","0","0","1","0","0","0","14","0","50","0"
"19","#FF8F28","Aliyeva, O.","0","0","0","0","0","0","0","0","0","0"
"20","#FF8F28","Carter, K.","0","0","0","0","0","0","0","0","0","0"
"21","#FF8F28","Handley, E.","0","0","0","0","0","0","0","0","0","0"
"22","#FF8F28","Holman, B.","0","0","0","0","0","0","0","0","0","0"
