"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#8C4799","De La Cruz, B.","60","0","0"
"2","#8C4799","Hunter, K.","0","0","0"
"3","#8C4799","McClendon, D.","0","0","20"
"4","#8C4799","Vélez Agosto, N.","0","0","0"
"5","#8C4799","Bastianelli, A.","0","0","0"
"6","#8C4799","Nwanebu, E.","0","0","0"
"7","#8C4799","Grant, N.","0","0","0"
"8","#DAAA00","Larson, J.","0","40","0"
"9","#8C4799","Peterson, A.","0","0","0"
"10","#8C4799","Freeman, S.","0","0","0"
"11","#8C4799","Lohman, M.","0","0","0"
"12","#8C4799","Wilson, E.","0","0","0"
"13","#DAAA00","Morgan, T.","0","0","0"
"14","#DAAA00","Tupac, K.","0","0","0"
"15","#DAAA00","Seliger-Swenson, S.","0","0","0"
"16","#DAAA00","Toliver, H.","0","0","0"
"17","#DAAA00","Holston, A.","0","0","0"
"18","#DAAA00","Sybeldon, L.","0","0","0"
"19","#DAAA00","Johnson, W.","0","0","0"
"20","#DAAA00","Stalzer, L.","0","0","0"
"21","#DAAA00","Wieser, K.","0","0","0"
"22","#DAAA00","Pickrell, K.","0","0","0"
