"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#FF8F28","Hunter, K.","16","0","37","0","24","-8","0","0","70","0"
"2","#FF8F28","Lowe, K.","128","-60","0","-12","0","0","0","-12","55","12"
"3","#FF8F28","De La Cruz, B.","96","-24","0","0","0","-8","12","0","35","12"
"4","#FF8F28","Vélez Agosto, N.","0","0","3","0","0","0","18","0","70","0"
"5","#DAAA00","Larson, J.","160","-72","0","0","0","-16","6","0","75","12"
"6","#FF8F28","Stalzer, L.","48","-24","0","0","0","0","10","-12","30","24"
"7","#FF8F28","Sybeldon, L.","40","0","1","0","0","-8","0","0","15","24"
"8","#FF8F28","Grant, N.","40","-12","1","0","0","0","0","0","15","24"
"9","#FF8F28","Fairs, E.","0","0","0","0","12","0","10","-12","20","0"
"10","#FF8F28","Lohman, M.","0","0","0","0","0","0","0","0","5","0"
"11","#FF8F28","Freeman, S.","0","0","0","0","0","0","0","0","0","0"
"12","#FF8F28","Handley, E.","0","0","0","0","0","0","0","0","0","0"
"13","#DAAA00","McClendon, D.","64","-12","0","0","0","-8","38","-36","40","12"
"14","#DAAA00","King, B.","0","-12","38","0","0","0","0","0","60","0"
"15","#DAAA00","Tupac, K.","0","0","3","0","0","0","30","0","40","0"
"16","#DAAA00","Castro, S.","64","-48","2","0","0","-16","0","0","45","0"
"17","#DAAA00","McCage, M.","72","-24","0","0","0","-8","0","0","0","0"
"18","#DAAA00","Holston, A.","0","0","0","0","12","0","0","0","0","0"
"19","#DAAA00","Morgan, T.","8","-12","0","0","0","-8","0","0","10","12"
"20","#DAAA00","Toliver, H.","0","0","0","0","24","-16","0","0","0","0"
"21","#DAAA00","Wieser, K.","0","0","0","0","0","0","0","0","0","0"
"22","#DAAA00","Pickrell, K.","0","0","0","0","0","0","0","0","0","0"
