"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#DAAA00","Larson, J.","40","60"
"2","#DAAA00","Johnson, W.","40","60"
"3","#1C9AD6","King, B.","80","0"
"4","#DAAA00","Seliger-Swenson, S.","40","60"
"5","#DAAA00","Tupac, K.","40","60"
"6","#1C9AD6","Edmond, L.","80","0"
"7","#1C9AD6","Atkinson, S.","80","0"
"8","#1C9AD6","McCage, M.","80","0"
"9","#DAAA00","Stalzer, L.","40","60"
"10","#1C9AD6","Clark, T.","80","0"
"11","#DAAA00","Sybeldon, L.","40","60"
"12","#DAAA00","Morgan, T.","40","60"
"13","#1C9AD6","Sandbothe, T.","80","0"
"14","#1C9AD6","Cruz, A.","80","0"
"15","#DAAA00","Toliver, H.","40","60"
"16","#DAAA00","Holston, A.","40","60"
"17","#DAAA00","Wieser, K.","40","60"
"18","#DAAA00","Pickrell, K.","40","60"
"19","#1C9AD6","Castro, S.","80","0"
"20","#1C9AD6","Manns, K.","80","0"
"21","#1C9AD6","Michel, C.","80","0"
