"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#DAAA00","Larson, J.","0","40","0"
"2","#DAAA00","Johnson, W.","60","0","0"
"3","#1C9AD6","King, B.","0","0","0"
"4","#DAAA00","Seliger-Swenson, S.","0","0","0"
"5","#DAAA00","Tupac, K.","0","0","0"
"6","#1C9AD6","Edmond, L.","0","0","0"
"7","#1C9AD6","Atkinson, S.","0","0","0"
"8","#1C9AD6","McCage, M.","0","0","20"
"9","#DAAA00","Stalzer, L.","0","0","0"
"10","#1C9AD6","Clark, T.","0","0","0"
"11","#DAAA00","Sybeldon, L.","0","0","0"
"12","#DAAA00","Morgan, T.","0","0","0"
"13","#1C9AD6","Sandbothe, T.","0","0","0"
"14","#1C9AD6","Cruz, A.","0","0","0"
"15","#DAAA00","Toliver, H.","0","0","0"
"16","#DAAA00","Holston, A.","0","0","0"
"17","#DAAA00","Wieser, K.","0","0","0"
"18","#DAAA00","Pickrell, K.","0","0","0"
"19","#1C9AD6","Castro, S.","0","0","0"
"20","#1C9AD6","Manns, K.","0","0","0"
"21","#1C9AD6","Michel, C.","0","0","0"
