"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#DAAA00","Larson, J.","104","-48","4","0","12","0","10","0","80","0"
"2","#DAAA00","Johnson, W.","152","-60","1","0","0","-8","0","0","35","12"
"3","#1C9AD6","King, B.","8","0","32","0","24","0","0","0","85","0"
"4","#DAAA00","Seliger-Swenson, S.","8","0","41","0","12","0","0","0","50","12"
"5","#DAAA00","Tupac, K.","0","0","2","0","0","0","28","-12","90","0"
"6","#1C9AD6","Edmond, L.","64","-36","0","0","0","0","34","-36","75","24"
"7","#1C9AD6","Atkinson, S.","120","-36","0","0","0","-8","0","0","25","12"
"8","#1C9AD6","McCage, M.","80","0","0","0","0","-16","0","0","0","24"
"9","#DAAA00","Stalzer, L.","40","-48","0","0","12","-8","26","-12","40","12"
"10","#1C9AD6","Clark, T.","0","0","6","0","0","0","12","0","60","0"
"11","#DAAA00","Sybeldon, L.","24","0","0","0","0","0","0","0","20","12"
"12","#DAAA00","Morgan, T.","48","-12","0","0","0","0","0","0","5","12"
"13","#1C9AD6","Sandbothe, T.","40","-12","1","0","0","-8","0","0","0","48"
"14","#1C9AD6","Cruz, A.","48","-48","0","0","0","0","20","-12","45","0"
"15","#DAAA00","Toliver, H.","8","-12","0","0","12","0","2","0","10","0"
"16","#DAAA00","Holston, A.","0","0","0","0","0","0","0","0","0","0"
"17","#DAAA00","Wieser, K.","0","0","0","0","0","0","0","0","0","0"
"18","#DAAA00","Pickrell, K.","0","0","0","0","0","0","0","0","0","0"
"19","#1C9AD6","Castro, S.","8","0","0","0","0","0","0","0","0","0"
"20","#1C9AD6","Manns, K.","0","0","2","0","0","0","0","0","0","0"
"21","#1C9AD6","Michel, C.","0","0","0","0","0","0","0","0","0","0"
